official_year,query_doi,resolved_doi,title,pdf_path,status,crossref_status,reference_count,crossref_reference_count,crossref_is_referenced_by_count,crossref_query_doi,error,raw_json_path
2000,10.1509/jmkr.37.1.1.18719,10.1509/jmkr.37.1.1.18719,Buyer–Supplier Contracts versus Joint Ventures: Determinants and Consequences of Transaction Structure,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.1.18719.pdf,ok,200,105,105,143,10.1509/jmkr.37.1.1.18719,,data\jmr_2000_2025\crossref_references\raw\10.1509_jmkr.37.1.1.18719.json
2000,10.1509/jmkr.37.1.102.18721,10.1509/jmkr.37.1.102.18721,Implementing Quality Improvement Programs Designed to Enhance Customer Satisfaction: Quasi-Experiments in the United States and Spain,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.102.18721.pdf,ok,200,38,38,48,10.1509/jmkr.37.1.102.18721,,data\jmr_2000_2025\crossref_references\raw\10.1509_jmkr.37.1.102.18721.json
2000,10.1509/jmkr.37.1.113.18717,10.1509/jmkr.37.1.113.18717,Controlling Measurement Errors in Models of Advertising Competition,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.113.18717.pdf,ok,200,40,40,19,10.1509/jmkr.37.1.113.18717,,data\jmr_2000_2025\crossref_references\raw\10.1509_jmkr.37.1.113.18717.json
2000,10.1509/jmkr.37.1.125.18724,10.1509/jmkr.37.1.125.18724,Are Consumer Survey Results Distorted? Systematic Impact of Behavioral Frequency and Duration on Survey Response Errors,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.125.18724.pdf,ok,200,49,49,59,10.1509/jmkr.37.1.125.18724,,data\jmr_2000_2025\crossref_references\raw\10.1509_jmkr.37.1.125.18724.json
2000,10.1509/jmkr.37.1.16.18723,10.1509/jmkr.37.1.16.18723,The Emergence of Market Structure in New Repeat-Purchase Categories: The Interplay of Market Share and Retailer Distribution,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.16.18723.pdf,ok,200,48,48,145,10.1509/jmkr.37.1.16.18723,,data\jmr_2000_2025\crossref_references\raw\10.1509_jmkr.37.1.16.18723.json
2000,10.1509/jmkr.37.1.32.18716,10.1509/jmkr.37.1.32.18716,"Which Ad Works, When, Where, and how Often? Modeling the Effects of Direct Television Advertising",data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.32.18716.pdf,ok,200,36,36,90,10.1509/jmkr.37.1.32.18716,,data\jmr_2000_2025\crossref_references\raw\10.1509_jmkr.37.1.32.18716.json
2000,10.1509/jmkr.37.1.47.18722,10.1509/jmkr.37.1.47.18722,Global Diffusion of Technological Innovations: A Coupled-Hazard Approach,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.47.18722.pdf,ok,200,48,48,136,10.1509/jmkr.37.1.47.18722,,data\jmr_2000_2025\crossref_references\raw\10.1509_jmkr.37.1.47.18722.json
2000,10.1509/jmkr.37.1.60.18718,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.60.18718.pdf,ok,200,44,44,1604,10.1509/jmkr.37.1.60.18718,,data\jmr_2000_2025\crossref_references\raw\10.1509_jmkr.37.1.60.18718.json
2000,10.1509/jmkr.37.1.72.18726,10.1509/jmkr.37.1.72.18726,Inferring Latent Brand Dependencies,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.72.18726.pdf,ok,200,32,32,13,10.1509/jmkr.37.1.72.18726,,data\jmr_2000_2025\crossref_references\raw\10.1509_jmkr.37.1.72.18726.json
2000,10.1509/jmkr.37.1.88.18715,10.1509/jmkr.37.1.88.18715,A New Dimension Reduction Approach for Data-Rich Marketing Environments: Sliced Inverse Regression,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.88.18715.pdf,ok,200,58,58,30,10.1509/jmkr.37.1.88.18715,,data\jmr_2000_2025\crossref_references\raw\10.1509_jmkr.37.1.88.18715.json
2000,10.1509/jmkr.37.2.139.18728,10.1509/jmkr.37.2.139.18728,The Evolution of Brand Preferences and Choice Behaviors of Consumers New to a Market,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.2.139.18728.pdf,ok,200,50,50,153,10.1509/jmkr.37.2.139.18728,,data\jmr_2000_2025\crossref_references\raw\10.1509_jmkr.37.2.139.18728.json
2000,10.1509/jmkr.37.2.156.18732,10.1509/jmkr.37.2.156.18732,Historical Method in Marketing Research with New Evidence on Long-Term Market Share Stability,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.2.156.18732.pdf,ok,200,102,102,218,10.1509/jmkr.37.2.156.18732,,data\jmr_2000_2025\crossref_references\raw\10.1509_jmkr.37.2.156.18732.json
