citing_official_year,citing_resolved_doi,citing_title,cited_official_year,cited_resolved_doi,cited_title,matched_reference_count,match_type_breakdown
2000,10.1509/jmkr.37.1.88.18715,A New Dimension Reduction Approach for Data-Rich Marketing Environments: Sliced Inverse Regression,2000,10.1509/jmkr.37.1.113.18717,Controlling Measurement Errors in Models of Advertising Competition,1,"{""doi"": 1}"
2001,10.1509/jmkr.38.2.216.18843,Social Dimensions of Consumer Distinctiveness: The Influence of Social Status on Group Identity and Advertising Persuasion,2001,10.1509/jmkr.38.3.336.18871,What We See Makes Us who We are: Priming Ethnic Self-Awareness and Advertising Response,1,"{""doi"": 1}"
2001,10.1509/jmkr.38.3.313.18869,Creating Local Brands in Multilingual International Markets,2000,10.1509/jmkr.37.3.309.18778,Cultural Variations in Country of Origin Effects,1,"{""doi"": 1}"
2001,10.1509/jmkr.38.3.336.18871,What We See Makes Us who We are: Priming Ethnic Self-Awareness and Advertising Response,2001,10.1509/jmkr.38.2.216.18843,Social Dimensions of Consumer Distinctiveness: The Influence of Social Status on Group Identity and Advertising Persuasion,1,"{""doi"": 1}"
2001,10.1509/jmkr.38.3.349.18865,The Role of Market Efficiency Intuitions in Consumer Choice: A Case of Compensatory Inferences,2000,10.1509/jmkr.37.4.427.18796,The Effects of Incomplete Information on Consumer Choice,1,"{""doi"": 1}"
2001,10.1509/jmkr.38.3.376.18866,Modeling Hedonic Portfolio Products: A Joint Segmentation Analysis of Music Compact Disc Sales,2000,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,1,"{""doi"": 1}"
2001,10.1509/jmkr.38.4.399.18908,What to Say When: Advertising Appeals in Evolving Markets,2000,10.1509/jmkr.37.1.32.18716,"Which Ad Works, When, Where, and how Often? Modeling the Effects of Direct Television Advertising",1,"{""doi"": 1}"
2001,10.1509/jmkr.38.4.445.18909,Understanding Reference-Price Shoppers: A Within- and Cross-Category Analysis,2000,10.1509/jmkr.37.2.246.18727,An Investigation of Reference Price Segments,1,"{""doi"": 1}"
2001,10.1509/jmkr.38.4.458.18903,The Moderating Role of Commitment on the Spillover Effect of Marketing Communications,2000,10.1509/jmkr.37.2.203.18734,Consumer Response to Negative Publicity: The Moderating Role of Commitment,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.1.47.18930,The Influence and Value of Analogical Thinking during New Product Ideation,2000,10.1509/jmkr.37.1.102.18721,Implementing Quality Improvement Programs Designed to Enhance Customer Satisfaction: Quasi-Experiments in the United States and Spain,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.1.87.18936,"Hierarchical Bayes versus Finite Mixture Conjoint Analysis Models: A Comparison of Fit, Prediction, and Partworth Recovery",2000,10.1509/jmkr.37.3.363.18779,Internet Recommendation Systems,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.2.155.19084,Earning the Right to Indulge: Effort as a Determinant of Customer Preferences toward Frequency Program Rewards,2000,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.2.171.19089,Developing Synergies between Promotions and Brands in Different Price-Quality Tiers,2000,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.2.214.19080,Optimal Design for Multinomial Choice Experiments,2001,10.1509/jmkr.38.4.430.18904,Designing Conjoint Choice Experiments Using Managers' Prior Beliefs,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.2.253.19087,Bayesian Prediction in Hybrid Conjoint Analysis,2001,10.1509/jmkr.38.2.143.18840,Response Styles in Marketing Research: A Cross-National Investigation,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.3.292.19103,Price Competition under Stockpiling and Flexible Consumption,2000,10.1509/jmkr.37.3.383.18782,The Estimation of Pre- and Postpromotion Dips with Store-Level Scanner Data,1,"{""doi"": 1}"
