pair_id,citing_official_year,citing_query_doi,citing_resolved_doi,citing_title,citing_pdf_path,citing_note_path,cited_official_year,cited_query_doi,cited_resolved_doi,cited_title,cited_pdf_path,cited_note_path,matched_reference_count,match_type_breakdown,matched_reference_evidence_json
10.1509_jmkr.37.1.88.18715__cites__10.1509_jmkr.37.1.113.18717,2000,10.1509/jmkr.37.1.88.18715,10.1509/jmkr.37.1.88.18715,A New Dimension Reduction Approach for Data-Rich Marketing Environments: Sliced Inverse Regression,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.88.18715.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.1.88.18715.json,2000,10.1509/jmkr.37.1.113.18717,10.1509/jmkr.37.1.113.18717,Controlling Measurement Errors in Models of Advertising Competition,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.113.18717.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.1.113.18717.json,1,"{""doi"": 1}","[{""reference_index"": 45, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.1.113.18717"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.38.2.216.18843__cites__10.1509_jmkr.38.3.336.18871,2001,10.1509/jmkr.38.2.216.18843,10.1509/jmkr.38.2.216.18843,Social Dimensions of Consumer Distinctiveness: The Influence of Social Status on Group Identity and Advertising Persuasion,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.2.216.18843.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.2.216.18843.json,2001,10.1509/jmkr.38.3.336.18871,10.1509/jmkr.38.3.336.18871,What We See Makes Us who We are: Priming Ethnic Self-Awareness and Advertising Response,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.3.336.18871.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.3.336.18871.json,1,"{""doi"": 1}","[{""reference_index"": 14, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.38.3.336.18871"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.38.3.313.18869__cites__10.1509_jmkr.37.3.309.18778,2001,10.1509/jmkr.38.3.313.18869,10.1509/jmkr.38.3.313.18869,Creating Local Brands in Multilingual International Markets,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.3.313.18869.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.3.313.18869.json,2000,10.1509/jmkr.37.3.309.18778,10.1509/jmkr.37.3.309.18778,Cultural Variations in Country of Origin Effects,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.3.309.18778.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.3.309.18778.json,1,"{""doi"": 1}","[{""reference_index"": 11, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.3.309.18778"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.38.3.336.18871__cites__10.1509_jmkr.38.2.216.18843,2001,10.1509/jmkr.38.3.336.18871,10.1509/jmkr.38.3.336.18871,What We See Makes Us who We are: Priming Ethnic Self-Awareness and Advertising Response,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.3.336.18871.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.3.336.18871.json,2001,10.1509/jmkr.38.2.216.18843,10.1509/jmkr.38.2.216.18843,Social Dimensions of Consumer Distinctiveness: The Influence of Social Status on Group Identity and Advertising Persuasion,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.2.216.18843.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.2.216.18843.json,1,"{""doi"": 1}","[{""reference_index"": 14, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.38.2.216.18843"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.38.3.349.18865__cites__10.1509_jmkr.37.4.427.18796,2001,10.1509/jmkr.38.3.349.18865,10.1509/jmkr.38.3.349.18865,The Role of Market Efficiency Intuitions in Consumer Choice: A Case of Compensatory Inferences,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.3.349.18865.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.3.349.18865.json,2000,10.1509/jmkr.37.4.427.18796,10.1509/jmkr.37.4.427.18796,The Effects of Incomplete Information on Consumer Choice,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.4.427.18796.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.4.427.18796.json,1,"{""doi"": 1}","[{""reference_index"": 23, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.4.427.18796"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.38.3.376.18866__cites__10.1509_jmkr.37.1.60.18718,2001,10.1509/jmkr.38.3.376.18866,10.1509/jmkr.38.3.376.18866,Modeling Hedonic Portfolio Products: A Joint Segmentation Analysis of Music Compact Disc Sales,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.3.376.18866.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.3.376.18866.json,2000,10.1509/jmkr.37.1.60.18718,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.60.18718.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.1.60.18718.json,1,"{""doi"": 1}","[{""reference_index"": 5, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.1.60.18718"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.38.4.399.18908__cites__10.1509_jmkr.37.1.32.18716,2001,10.1509/jmkr.38.4.399.18908,10.1509/jmkr.38.4.399.18908,What to Say When: Advertising Appeals in Evolving Markets,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.4.399.18908.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.4.399.18908.json,2000,10.1509/jmkr.37.1.32.18716,10.1509/jmkr.37.1.32.18716,"Which Ad Works, When, Where, and how Often? Modeling the Effects of Direct Television Advertising",data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.32.18716.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.1.32.18716.json,1,"{""doi"": 1}","[{""reference_index"": 79, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.1.32.18716"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.38.4.445.18909__cites__10.1509_jmkr.37.2.246.18727,2001,10.1509/jmkr.38.4.445.18909,10.1509/jmkr.38.4.445.18909,Understanding Reference-Price Shoppers: A Within- and Cross-Category Analysis,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.4.445.18909.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.4.445.18909.json,2000,10.1509/jmkr.37.2.246.18727,10.1509/jmkr.37.2.246.18727,An Investigation of Reference Price Segments,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.2.246.18727.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.2.246.18727.json,1,"{""doi"": 1}","[{""reference_index"": 33, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.2.246.18727"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.38.4.458.18903__cites__10.1509_jmkr.37.2.203.18734,2001,10.1509/jmkr.38.4.458.18903,10.1509/jmkr.38.4.458.18903,The Moderating Role of Commitment on the Spillover Effect of Marketing Communications,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.4.458.18903.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.4.458.18903.json,2000,10.1509/jmkr.37.2.203.18734,10.1509/jmkr.37.2.203.18734,Consumer Response to Negative Publicity: The Moderating Role of Commitment,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.2.203.18734.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.2.203.18734.json,1,"{""doi"": 1}","[{""reference_index"": 1, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.2.203.18734"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.1.47.18930__cites__10.1509_jmkr.37.1.102.18721,2002,10.1509/jmkr.39.1.47.18930,10.1509/jmkr.39.1.47.18930,The Influence and Value of Analogical Thinking during New Product Ideation,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.1.47.18930.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.1.47.18930.json,2000,10.1509/jmkr.37.1.102.18721,10.1509/jmkr.37.1.102.18721,Implementing Quality Improvement Programs Designed to Enhance Customer Satisfaction: Quasi-Experiments in the United States and Spain,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.102.18721.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.1.102.18721.json,1,"{""doi"": 1}","[{""reference_index"": 45, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.1.102.18721"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
