pair_id,status,response_id,model,requested_reasoning_effort,returned_reasoning_effort,triage_decision,output_path,raw_response_path,error_path,input_tokens,output_tokens,total_tokens,error
10.1509_jmkr.37.1.88.18715__cites__10.1509_jmkr.37.1.113.18717,ok,resp_01703f1cb7d660190169dbf23abf3481918dc2a337ac41bcc6,gpt-5.4,xhigh,high,drop_obvious_mention_only,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.37.1.88.18715__cites__10.1509_jmkr.37.1.113.18717.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.37.1.88.18715__cites__10.1509_jmkr.37.1.113.18717.json,,2360,554,2914,
10.1509_jmkr.38.2.216.18843__cites__10.1509_jmkr.38.3.336.18871,ok,resp_0ac3722a648b3e300169dbf23aa0688191b38e6371baad5326,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.38.2.216.18843__cites__10.1509_jmkr.38.3.336.18871.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.38.2.216.18843__cites__10.1509_jmkr.38.3.336.18871.json,,2324,613,2937,
10.1509_jmkr.38.3.313.18869__cites__10.1509_jmkr.37.3.309.18778,ok,resp_0ab3b8c58fe630b00169dbf23ae8a881919e65ddbcb24f612f,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.38.3.313.18869__cites__10.1509_jmkr.37.3.309.18778.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.38.3.313.18869__cites__10.1509_jmkr.37.3.309.18778.json,,2299,375,2674,
10.1509_jmkr.38.3.336.18871__cites__10.1509_jmkr.38.2.216.18843,ok,resp_0d272004d5ea07480169dbf23ae5d081919bc9c5b9fca38bc1,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.38.3.336.18871__cites__10.1509_jmkr.38.2.216.18843.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.38.3.336.18871__cites__10.1509_jmkr.38.2.216.18843.json,,2324,428,2752,
10.1509_jmkr.38.3.349.18865__cites__10.1509_jmkr.37.4.427.18796,ok,resp_0f6c9cab704427850169dbf23ad37c8191ade4ca150e7f5a37,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.38.3.349.18865__cites__10.1509_jmkr.37.4.427.18796.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.38.3.349.18865__cites__10.1509_jmkr.37.4.427.18796.json,,2335,406,2741,
10.1509_jmkr.38.3.376.18866__cites__10.1509_jmkr.37.1.60.18718,ok,resp_0a72fdb0adb99ddf0169dbf23ace2c81919bcfe9d0042b216c,gpt-5.4,xhigh,high,uncertain,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.38.3.376.18866__cites__10.1509_jmkr.37.1.60.18718.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.38.3.376.18866__cites__10.1509_jmkr.37.1.60.18718.json,,2320,681,3001,
10.1509_jmkr.38.4.399.18908__cites__10.1509_jmkr.37.1.32.18716,ok,resp_0e93d244d57d18270169dbf23aeadc81919912d391a647caf0,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.38.4.399.18908__cites__10.1509_jmkr.37.1.32.18716.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.38.4.399.18908__cites__10.1509_jmkr.37.1.32.18716.json,,2204,364,2568,
10.1509_jmkr.38.4.445.18909__cites__10.1509_jmkr.37.2.246.18727,ok,resp_066d67abacecb9e90169dbf23abc50819196ceb09ff3b9ed98,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.38.4.445.18909__cites__10.1509_jmkr.37.2.246.18727.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.38.4.445.18909__cites__10.1509_jmkr.37.2.246.18727.json,,2365,374,2739,
10.1509_jmkr.38.4.458.18903__cites__10.1509_jmkr.37.2.203.18734,ok,resp_0e589dcf722be4d10169dbf23aaaa481919634fa857895b6c5,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.38.4.458.18903__cites__10.1509_jmkr.37.2.203.18734.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.38.4.458.18903__cites__10.1509_jmkr.37.2.203.18734.json,,2323,345,2668,
10.1509_jmkr.39.1.47.18930__cites__10.1509_jmkr.37.1.102.18721,ok,resp_05d2f33ec1de7b120169dbf23b45588191ba591cbcd9bbbbfa,gpt-5.4,xhigh,high,drop_obvious_mention_only,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.1.47.18930__cites__10.1509_jmkr.37.1.102.18721.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.1.47.18930__cites__10.1509_jmkr.37.1.102.18721.json,,2372,527,2899,
