official_year,title,doi,crossref_reference_count,openalex_status,openalex_id,openalex_referenced_works_count,openalex_referenced_works_len,diff_openalex_minus_crossref
2017,Uncovering the Importance of Relationship Characteristics in Social Networks: Implications for Seeding Strategies,10.1509/jmr.12.0511,51,200,https://openalex.org/W2406656474,55,55,4
2017,Positioning Multicountry Brands: The Impact of Variation in Cultural Values and Competitive Set,10.1509/jmr.13.0058,51,200,https://openalex.org/W2605401013,45,45,-6
2017,Repairing the Damage: The Effect of Price Knowledge and Gender on Auto Repair Price Quotes,10.1509/jmr.13.0291,27,200,https://openalex.org/W2341552721,33,33,6
2017,The Influence of the Structure of Interdependence on the Response to Inequity in Buyer–Supplier Relationships,10.1509/jmr.13.0319,57,200,https://openalex.org/W2328164216,76,76,19
2017,Keep Your Cool or Let it Out: Nonlinear Effects of Expressed Arousal on Perceptions of Consumer Reviews,10.1509/jmr.13.0379,94,200,https://openalex.org/W2509070588,90,90,-4
2017,Social Interactions and Monetary Incentives in Driving Consumer Repeat Behavior,10.1509/jmr.13.0482,58,200,https://openalex.org/W2485424538,55,55,-3
2017,Efficient Design and Analysis for a Selective Choice Process,10.1509/jmr.13.0545,33,200,https://openalex.org/W2357915621,33,33,0
2017,A Meta-Analysis of Marketing Communication Carryover Effects,10.1509/jmr.13.0580,57,200,https://openalex.org/W2613795277,57,57,0
2017,Who's Driving this Conversation? Systematic Biases in the Content of Online Consumer Discussions,10.1509/jmr.14.0012,36,200,https://openalex.org/W2307931089,40,40,4
2017,Do Disclosures of Customer Metrics Lower Investors’ and Analysts’ Uncertainty but Hurt Firm Performance?,10.1509/jmr.14.0028,130,200,https://openalex.org/W2469747740,100,100,-30
2017,"Values that Shape Marketing Decisions: Influence of Chief Executive Officers’ Political Ideologies on Innovation Propensity, Shareholder Value, and Risk",10.1509/jmr.14.0110,69,200,https://openalex.org/W2415235733,65,65,-4
2017,Shining Light on Atmospherics: How Ambient Light Influences Food Choices,10.1509/jmr.14.0115,84,200,https://openalex.org/W2346223178,83,83,-1
2017,"A Dynamic Model for Digital Advertising: The Effects of Creative Format, Message Content, and Targeting on Engagement",10.1509/jmr.14.0117,73,200,https://openalex.org/W2408075075,75,75,2
2017,Interpreting the Stock Returns to New Product Announcements: How the past Shapes Investors’ Expectations of the Future,10.1509/jmr.14.0119,61,200,https://openalex.org/W2560377044,58,58,-3
2017,Mobility of Top Marketing and Sales Executives in Business-to-Business Markets: A Social Network Perspective,10.1509/jmr.14.0124,85,200,https://openalex.org/W2507395308,84,84,-1
2017,Rejecting Responsibility: Low Physical Involvement in Obtaining Food Promotes Unhealthy Eating,10.1509/jmr.14.0125,72,200,https://openalex.org/W2519708027,69,69,-3
2017,Franchisor–Franchisee Bankruptcy and the Efficacy of Franchisee Governance,10.1509/jmr.14.0182,76,200,https://openalex.org/W2612965891,75,75,-1
2017,A New Method to Aid Copy Testing of Paid Search Text Advertisements,10.1509/jmr.14.0186,39,200,https://openalex.org/W2589021926,35,35,-4
2017,“Mere Measurement Plus”: How Solicitation of Open-Ended Positive Feedback Influences Customer Purchase Behavior,10.1509/jmr.14.0232,40,200,https://openalex.org/W2303230392,42,42,2
2017,Does “Liking” Lead to Loving? The Impact of Joining a Brand's Social Network on Marketing Outcomes,10.1509/jmr.14.0237,28,200,https://openalex.org/W2465607256,27,27,-1
2017,The Self-Expressive Customization of a Product Can Improve Performance,10.1509/jmr.14.0293,64,200,https://openalex.org/W2530127458,69,69,5
2017,Sounds Big: The Effects of Acoustic Pitch on Product Perceptions,10.1509/jmr.14.0300,83,200,https://openalex.org/W2470622704,88,88,5
2017,Tweeting as a Marketing Tool: A Field Experiment in the TV Industry,10.1509/jmr.14.0348,61,200,https://openalex.org/W159408523,54,54,-7
2017,Return on Service Amenities,10.1509/jmr.14.0364,41,200,https://openalex.org/W2340530264,30,30,-11
2017,"The Jilting Effect: Antecedents, Mechanisms, and Consequences for Preference",10.1509/jmr.14.0373,55,200,https://openalex.org/W2555518326,56,56,1
2017,Comparison Neglect in Upgrade Decisions,10.1509/jmr.14.0394,39,200,https://openalex.org/W2511220624,36,36,-3
2017,Turning off the Lights: Consumers' Environmental Efforts Depend on Visible Efforts of Firms,10.1509/jmr.14.0441,68,200,https://openalex.org/W2479027724,58,58,-10
2017,Time Preferences and Mortgage Choice,10.1509/jmr.14.0481,60,200,https://openalex.org/W2495130399,72,72,12
2017,Clicks as a Healthy Alternative to Bricks: How Online Grocery Shopping Reduces Vice Purchases,10.1509/jmr.14.0490,74,200,https://openalex.org/W2383220224,61,61,-13
2017,Can Offline Stores Drive Online Sales?,10.1509/jmr.14.0518,53,200,https://openalex.org/W2532859047,44,44,-9
2017,Riding the Waves: Revealing the Impact of Intrayear Category Demand Cycles on Advertising and Pricing Effectiveness,10.1509/jmr.14.0576,68,200,https://openalex.org/W2471936659,73,73,5
2017,What Happens Online Stays Online? Segment-Specific Online and Offline Effects of Banner Advertisements,10.1509/jmr.14.0625,41,200,https://openalex.org/W2594752036,37,37,-4
2017,On the Method of Evolutionary Psychology and Its Applicability to Consumer Research,10.1509/jmr.14.0645,125,200,https://openalex.org/W2496163887,119,119,-6
2017,The Charity Beauty Premium: Satisfying Donors’ “Want” versus “Should” Desires,10.1509/jmr.14.0658,76,200,https://openalex.org/W2531852992,66,66,-10
2017,Tipping the Scale: The Role of Discriminability in Conjoint Analysis,10.1509/jmr.14.0659,53,200,https://openalex.org/W2433347344,76,76,23
2017,Do Costly Options Lead to Better Outcomes? How the Protestant Work Ethic Influences the Cost–Benefit Heuristic in Goal Pursuit,10.1509/jmr.15.0105,54,200,https://openalex.org/W2530500807,56,56,2
2017,Identifying the Presence and Cause of Fashion Cycles in Data,10.1509/jmr.15.0119,70,200,https://openalex.org/W3125492715,75,75,5
2017,TV Channel Search and Commercial Breaks,10.1509/jmr.15.0121,29,200,https://openalex.org/W3125202474,22,22,-7
2017,“Be Careless with That!” Availability of Product Upgrades Increases Cavalier Behavior toward Possessions,10.1509/jmr.15.0131,70,200,https://openalex.org/W1752302988,64,64,-6
2017,Linking Customer Behaviors to Cash Flow Level and Volatility: Implications for Marketing Practices,10.1509/jmr.15.0158,68,200,https://openalex.org/W2282049647,47,47,-21
2017,Incentives versus Reciprocity: Insights from a Field Experiment,10.1509/jmr.15.0174,59,200,https://openalex.org/W1865543013,63,63,4
2017,How Does Team Composition Affect Effort in Contests? A Theoretical and Experimental Analysis,10.1509/jmr.15.0201,20,200,https://openalex.org/W2317309847,22,22,2
2017,The Rise of the Sharing Economy: Estimating the Impact of Airbnb on the Hotel Industry,10.1509/jmr.15.0204,38,200,https://openalex.org/W3123937330,37,37,-1
2017,Exploring the Relationship between Varieties of Variety and Weight Loss: When more Variety can Help People Lose Weight,10.1509/jmr.15.0206,51,200,https://openalex.org/W2518234603,47,47,-4
2017,The Benefits of Emergency Reserves: Greater Preference and Persistence for Goals that Have Slack with a Cost,10.1509/jmr.15.0231,45,200,https://openalex.org/W2476037278,47,47,2
2017,The Value of Marketing Crowdsourced New Products as Such: Evidence from Two Randomized Field Experiments,10.1509/jmr.15.0244,43,200,https://openalex.org/W2521497567,40,40,-3
2017,How Language Shapes Word of Mouth's Impact,10.1509/jmr.15.0248,86,200,https://openalex.org/W2508526766,87,87,1
2017,Seller Beware: How Bundling Affects Valuation,10.1509/jmr.15.0277,35,200,https://openalex.org/W2570591202,41,41,6
2017,Ghost Ads: Improving the Economics of Measuring Online Ad Effectiveness,10.1509/jmr.15.0297,45,200,https://openalex.org/W3122414560,32,32,-13
2017,Extracting Summary Piles from Sorting Task Data,10.1509/jmr.15.0388,48,200,https://openalex.org/W2500192121,47,47,-1
2017,Demand for “Healthy” Products: False Claims and FTC Regulation,10.1509/jmr.15.0398,27,200,https://openalex.org/W3124026621,27,27,0
2017,What Are Likes Worth? A Facebook Page Field Experiment,10.1509/jmr.15.0409,55,200,https://openalex.org/W2417728493,44,44,-11
2017,Beyond the Target Customer: Social Effects of Customer Relationship Management Campaigns,10.1509/jmr.15.0442,44,200,https://openalex.org/W2173879362,52,52,8
2017,Building Agent-Based Decision Support Systems for Word-of-Mouth Programs: A Freemium Application,10.1509/jmr.15.0443,83,200,https://openalex.org/W2521112083,84,84,1
2017,Why Do Salespeople Quit? An Empirical Examination of Own and Peer Effects on Salesperson Turnover Behavior,10.1509/jmr.15.0485,72,200,https://openalex.org/W2513506569,66,66,-6
2017,Predicting the Consequences of Marketing Policy Changes: A New Data Enrichment Method with Competitive Reactions,10.1509/jmr.15.0498,65,200,https://openalex.org/W2566662100,70,70,5
2017,Influencing Acquisition Performance in High-Technology Industries: The Role of Innovation and Relational Overlap,10.1509/jmr.15.0556,100,200,https://openalex.org/W2472696063,97,97,-3
2017,The Effect of Recycling versus Trashing on Consumption: Theory and Experimental Evidence,10.1509/jmr.15.0574,46,200,https://openalex.org/W2398757056,44,44,-2
2017,Analyzing Client Profitability across Diffusion Segments for a Continuous Innovation,10.1509/jmr.16.0209,52,200,https://openalex.org/W2592628518,50,50,-2
2017,Dynamically Managing a Profitable Email Marketing Program,10.1509/jmr.16.0210,38,200,https://openalex.org/W2587032255,33,33,-5
2017,Field Experimentation in Marketing Research,10.1509/jmr.16.0225,39,200,https://openalex.org/W2497023894,38,38,-1
2017,Journal of Marketing Research: Looking Forward,10.1509/jmr.54.11,20,200,https://openalex.org/W2586026726,19,19,-1
2018,"The Seesaw Self: Possessions, Identity (De)activation, and Task Performance",10.1177/0022243718793885,43,200,https://openalex.org/W3125179881,42,42,-1
2018,When Does Partitioned Pricing Lead to More Favorable Consumer Preferences?: Meta-Analytic Evidence,10.1177/0022243718800724,67,200,https://openalex.org/W4255489062,58,58,-9
2018,Relationship Governance Dynamics: The Roles of Partner Selection Efforts and Mutual Investments,10.1177/0022243718801325,70,200,https://openalex.org/W4245555561,67,67,-3
2018,Customer-Based Corporate Valuation for Publicly Traded Noncontractual Firms,10.1177/0022243718802843,53,200,https://openalex.org/W4253168449,40,40,-13
