pair_id,status,response_id,model,requested_reasoning_effort,returned_reasoning_effort,api_key_slot,citation_substance,relation_type,output_path,raw_response_path,error_path,input_tokens,output_tokens,total_tokens,error
10.1509_jmkr.42.1.27.56885__cites__10.1509_jmkr.41.4.467.47005,ok,resp_0fa16939bcf430130169dc125280548191a2cd18655f3f1c47,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.1.27.56885__cites__10.1509_jmkr.41.4.467.47005.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.1.27.56885__cites__10.1509_jmkr.41.4.467.47005.json,,6108,380,6488,
10.1509_jmkr.2005.42.3.255__cites__10.1509_jmkr.2005.42.3.254,ok,resp_099a0dd934ca922c0169dc1251608081918cfb17631b07f199,gpt-5.4,xhigh,high,0,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.2005.42.3.255__cites__10.1509_jmkr.2005.42.3.254.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.2005.42.3.255__cites__10.1509_jmkr.2005.42.3.254.json,,2779,422,3201,
10.1509_jmkr.42.1.27.56885__cites__10.1509_jmkr.42.1.83.56959,ok,resp_099a30b2fe6e95d40169dc1252431c8191b0609bdded631150,gpt-5.4,xhigh,high,0,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.1.27.56885__cites__10.1509_jmkr.42.1.83.56959.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.1.27.56885__cites__10.1509_jmkr.42.1.83.56959.json,,6121,395,6516,
10.1509_jmkr.40.1.39.19126__cites__10.1509_jmkr.38.1.110.18830,ok,resp_0ca4a10efc68d80f0169dc1250fd6c8191b2b404e671a480d6,gpt-5.4,xhigh,high,0,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.40.1.39.19126__cites__10.1509_jmkr.38.1.110.18830.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.40.1.39.19126__cites__10.1509_jmkr.38.1.110.18830.json,,22170,458,22628,
10.1509_jmkr.41.4.392.47020__cites__10.1509_jmkr.41.3.237.35990,ok,resp_037c5061ee8892b90169dc1254b6e081918d9ebc39a61c7e96,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.41.4.392.47020__cites__10.1509_jmkr.41.3.237.35990.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.41.4.392.47020__cites__10.1509_jmkr.41.3.237.35990.json,,8748,412,9160,
10.1509_jmkr.41.4.397.47019__cites__10.1509_jmkr.38.2.216.18843,ok,resp_03cdd47d17a64e390169dc1252de2881919bfcbf5d1b9de341,gpt-5.4,xhigh,high,1,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.41.4.397.47019__cites__10.1509_jmkr.38.2.216.18843.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.41.4.397.47019__cites__10.1509_jmkr.38.2.216.18843.json,,23337,428,23765,
10.1509_jmkr.40.4.481.19386__cites__10.1509_jmkr.39.4.421.19114,ok,resp_0df4680d2dee32f70169dc125168748191bd6ea649ffcf1cc8,gpt-5.4,xhigh,high,0,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.40.4.481.19386__cites__10.1509_jmkr.39.4.421.19114.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.40.4.481.19386__cites__10.1509_jmkr.39.4.421.19114.json,,17563,528,18091,
10.1509_jmkr.41.4.448.47017__cites__10.1509_jmkr.40.2.131.19224,ok,resp_01d83e2634b43b340169dc12543e6c819191cde6311bdcbc96,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.41.4.448.47017__cites__10.1509_jmkr.40.2.131.19224.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.41.4.448.47017__cites__10.1509_jmkr.40.2.131.19224.json,,15992,438,16430,
10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.37.2.173.18738,ok,resp_0ccefdf7ee0c08ee0169dc1253f35081918715eacc7b48d433,gpt-5.4,xhigh,high,1,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.37.2.173.18738.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.37.2.173.18738.json,,17042,506,17548,
10.1509_jmkr.39.4.469.19117__cites__10.1509_jmkr.37.4.449.18786,ok,resp_0499301b167a91290169dc1250e8248191ac88b59ab9b7ee3a,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.39.4.469.19117__cites__10.1509_jmkr.37.4.449.18786.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.39.4.469.19117__cites__10.1509_jmkr.37.4.449.18786.json,,15597,552,16149,
